,Instrument,ESG Score
0,NVDA.O,76.918600519824
1,AAPL.O,71.3962098656335
2,MSFT.O,86.9738094175664
3,TSLA.O,68.2318632290176
4,GOOGL.O,81.3288002943195
5,AMD.O,70.9592874572723
6,2330.TW,87.0301865975367
