Date,Price Close_BTC=,Volatility - 30 days_BTC=,TR.RSI14D_BTC=,Price Close_ETH=,Volatility - 30 days_ETH=,TR.RSI14D_ETH=,Price Close_SOL=,Volatility - 30 days_SOL=,TR.RSI14D_SOL=,Price Close_BTCc1,Volatility - 30 days_BTCc1,TR.RSI14D_BTCc1,Price Close_2330.TW,Volatility - 30 days_2330.TW,TR.RSI14D_2330.TW,Price Close_2454.TW,Volatility - 30 days_2454.TW,TR.RSI14D_2454.TW,Price Close_.TWII,Volatility - 30 days_.TWII,TR.RSI14D_.TWII,Price Close_LCOc1,Volatility - 30 days_LCOc1,TR.RSI14D_LCOc1,Price Close_XAU=,Volatility - 30 days_XAU=,TR.RSI14D_XAU=,Price Close_US10YT=RR,Volatility - 30 days_US10YT=RR,TR.RSI14D_US10YT=RR,Price Close_.N225,Volatility - 30 days_.N225,TR.RSI14D_.N225,Price Close_.FTSE,Volatility - 30 days_.FTSE,TR.RSI14D_.FTSE,Price Close_.GDAXI,Volatility - 30 days_.GDAXI,TR.RSI14D_.GDAXI,Price Close_EUR=,Volatility - 30 days_EUR=,TR.RSI14D_EUR=,Price Close_JPY=,Volatility - 30 days_JPY=,TR.RSI14D_JPY=,Price Close_CNY=,Volatility - 30 days_CNY=,TR.RSI14D_CNY=
2017-12-29 00:00:00,,,,,,,,,,,,,,,,,,,10642.86,,,,,,,,,,,,22764.94,,,7687.77,,,12917.64,,,,,,,,,,,
2018-01-02 00:00:00,,,,,,,,,,,,,232.5,,,291.5,,,10710.73,,,,,,,,,,,,,,,7648.1,,,12871.39,,,,,,,,,,,
2018-01-03 00:00:00,,,,,,,,,,,,,237.0,,,300.5,,,10801.57,,,,,,,,,,,,,,,7671.11,,,12978.21,,,,,,,,,,,
2018-01-04 00:00:00,,,,,,,,,,,,,239.5,,,307.0,,,10848.63,,,,,,,,,,,,23506.33,,,7695.88,,,13167.89,,,,,,,,,,,
2018-01-05 00:00:00,,,,,,,,,,,,,240.0,,,300.0,,,10879.8,,,,,,,,,,,,23714.53,,,7724.22,,,13319.64,,,,,,,,,,,
2018-01-08 00:00:00,,,,,,,,,,,,,242.0,,,298.0,,,10915.75,,,,,,,,,,,,,,,7696.51,,,13367.78,,,,,,,,,,,
2018-01-09 00:00:00,,,,,,,,,,,,,242.0,,,304.0,,,10914.89,,,,,,,,,,,,23849.99,,,7731.02,,,13385.59,,,,,,,,,,,
2018-01-10 00:00:00,,,,,,,,,,,,,236.5,,,309.5,,,10831.09,,,,,,,,,,,,23788.2,,,7748.51,,,13281.34,,,,,,,,,,,
2018-01-11 00:00:00,,,,,,,,,,,,,235.0,,,306.0,,,10810.06,,,,,,,,,,,,23710.43,,,7762.94,,,13202.9,,,,,,,,,,,
2018-01-12 00:00:00,,,,,,,,,,,,,237.0,,,309.5,,,10883.96,,,,,,,,,,,,23653.82,,,7778.64,,,13245.03,,,,,,,,,,,
2018-01-15 00:00:00,,,,,,,,,,,,,240.0,,,313.0,,,10956.31,,,,,,,,,,,,23714.88,,,7769.14,,,13200.51,,,,,,,,,,,
2018-01-16 00:00:00,,,,,,,,,,,,,240.5,,,312.0,,,10986.11,,,,,,,,,,,,23951.81,,,7755.93,,,13246.33,,,,,,,,,,,
2018-01-17 00:00:00,,,,,,,,,,,,,242.0,,,306.5,,,11004.8,,,,,,,,,,,,23868.34,,,7725.43,,,13183.96,,,,,,,,,,,
2018-01-18 00:00:00,,,,,,,,,,,,,248.5,,,319.5,,,11071.57,,,,,,,,,,,,23763.37,,,7700.96,,,13281.43,,,,,,,,,,,
2018-01-19 00:00:00,,,,,,,,,,,,,255.5,,,319.0,,,11150.85,,,,,,,,,,,,23808.06,,,7730.79,,,13434.45,,,,,,,,,,,
2018-01-22 00:00:00,,,,,,,,,,,,,261.5,,,319.0,,,11231.46,,,,,,,,,,,,23816.33,,,7715.44,,,13463.69,,,,,,,,,,,
2018-01-23 00:00:00,,,,,,,,,,,,,266.0,,,318.0,,,11253.11,,,,,,,,,,,,24124.15,,,7731.83,,,13559.6,,,,,,,,,,,
