,0
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,1.0
2023-01-09,1.0
2023-01-10,1.0
2023-01-11,1.0
2023-01-12,1.0
2023-01-13,1.0
2023-01-17,1.0
2023-01-18,1.0
2023-01-19,1.0
2023-01-20,1.0
2023-01-23,1.0
2023-01-24,1.0
2023-01-25,1.0
2023-01-26,1.0
2023-01-27,1.0
2023-01-30,1.0
2023-01-31,1.0
2023-02-01,1.0
2023-02-02,1.0
2023-02-03,1.0
2023-02-06,1.0
2023-02-07,1.0
2023-02-08,1.0
2023-02-09,1.0
2023-02-10,1.0
2023-02-13,1.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-17,1.0
2023-02-21,1.0
2023-02-22,1.0
2023-02-23,1.0
2023-02-24,1.0
2023-02-27,1.0
2023-02-28,1.0
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,1.0
2023-03-06,1.0
2023-03-07,1.0
2023-03-08,1.0
2023-03-09,1.0
2023-03-10,1.0
2023-03-13,1.0
2023-03-14,1.0
2023-03-15,1.0
2023-03-16,1.0
2023-03-17,1.0
2023-03-20,1.0
2023-03-21,1.0
2023-03-22,1.0
2023-03-23,1.0
2023-03-24,1.0
2023-03-27,1.0
2023-03-28,1.0
2023-03-29,1.0
2023-03-30,1.0096575615920922
2023-03-31,0.9978042375090013
2023-04-03,0.9909858037466335
2023-04-04,0.9829319218481749
2023-04-05,0.9774366698177319
2023-04-06,0.9891778638265086
2023-04-10,0.9935268480085494
2023-04-11,0.9804569860760103
2023-04-12,0.9710303308605972
2023-04-13,0.9768778774959689
2023-04-14,0.9795168493900621
2023-04-17,0.9837444899245693
2023-04-18,0.9817255811299798
2023-04-19,0.9581799949626292
2023-04-20,0.9598062222047531
2023-04-21,0.9567635921397039
2023-04-24,0.9573843022241502
2023-04-25,0.944133676385976
2023-04-26,0.9386306580043945
2023-04-27,0.9394969452530266
2023-04-28,0.9511190168924668
2023-05-01,0.9483691496858334
2023-05-02,0.9460191317642677
2023-05-03,0.9475094134321398
2023-05-04,0.9380197405621881
2023-05-05,0.9388196397741672
2023-05-08,0.938440423525023
2023-05-09,0.9423789561932429
2023-05-10,0.9346341035212758
2023-05-11,0.9374591097824327
2023-05-12,0.9450660890558114
2023-05-15,0.9487636671041142
2023-05-16,0.9505310089340944
2023-05-17,0.9582707387662214
2023-05-18,0.9518306136178137
2023-05-19,0.9469328305662174
2023-05-22,0.9461823329319256
2023-05-23,0.9460433618253129
2023-05-24,0.9934508119926295
2023-05-25,0.9914897812350033
2023-05-26,0.9815065775885132
2023-05-30,0.9707213489140275
2023-05-31,0.9722513450648044
2023-06-01,0.9677603574515153
2023-06-02,0.9675783942155618
